sep=,
model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,totalChanges,correspondence
/model89/original,0,0,3,1,3,2,9,0.8571428571428572
/model89/original,0,0,3,1,3,3,10,0.8917748917748918
/model89/original,0,0,3,2,0,0,5,0.8761061946902655
/model89/original,0,0,3,2,0,1,6,0.8738738738738738
/model89/original,0,0,3,2,0,2,7,0.8622222222222222
/model89/original,0,0,3,2,0,3,8,0.8722466960352423
/model89/original,0,0,3,2,1,0,6,0.8771929824561404
/model89/original,0,0,3,2,1,1,7,0.8430493273542601
/model89/original,0,0,3,2,1,2,8,0.8251121076233183
/model89/original,0,0,3,2,1,3,9,0.8193832599118943
/model89/original,0,0,3,2,2,0,7,0.8733624454148472
/model89/original,0,0,3,2,2,1,8,0.8660714285714286
/model89/original,0,0,3,2,2,2,9,0.8820960698689957
/model89/original,0,0,3,2,2,3,10,0.8947368421052632
/model89/original,0,0,3,2,3,0,8,0.896551724137931
/model89/original,0,0,3,2,3,1,9,0.8070175438596492
/model89/original,0,0,3,2,3,2,10,0.8711111111111112
/model89/original,0,0,3,2,3,3,11,0.8733624454148472
/model89/original,0,0,3,3,0,0,6,0.868421052631579
/model89/original,0,0,3,3,0,1,7,0.8141592920353982
/model89/original,0,0,3,3,0,2,8,0.8209606986899564
/model89/original,0,0,3,3,0,3,9,0.7982456140350878
/model89/original,0,0,3,3,1,0,7,0.7929515418502202
/model89/original,0,0,3,3,1,1,8,0.852017937219731
/model89/original,0,0,3,3,1,2,9,0.8596491228070176
/model89/original,0,0,3,3,1,3,10,0.7207207207207207
/model89/original,0,0,3,3,2,0,8,0.8138528138528138
/model89/original,0,0,3,3,2,1,9,0.8070175438596492
/model89/original,0,0,3,3,2,2,10,0.8571428571428572
/model89/original,0,0,3,3,2,3,11,0.8303571428571428
/model89/original,0,0,3,3,3,0,9,0.8177777777777777
/model89/original,0,0,3,3,3,1,10,0.8508771929824561
/model89/original,0,0,3,3,3,2,11,0.7982456140350878
/model89/original,0,0,3,3,3,3,12,0.7477477477477478
/model89/original,0,1,0,0,0,0,1,0.995850622406639
/model89/original,0,1,0,0,0,1,2,0.9916666666666667
/model89/original,0,1,0,0,0,2,3,0.9874476987447699
/model89/original,0,1,0,0,0,3,4,0.9831932773109243
/model89/original,0,1,0,0,1,0,2,0.995850622406639
/model89/original,0,1,0,0,1,1,3,0.9875518672199171
/model89/original,0,1,0,0,1,2,4,0.9833333333333333
/model89/original,0,1,0,0,1,3,5,0.9790794979079498
/model89/original,0,1,0,0,2,0,3,0.9876543209876543
/model89/original,0,1,0,0,2,1,4,0.9875518672199171
/model89/original,0,1,0,0,2,2,5,0.979253112033195
/model89/original,0,1,0,0,2,3,6,0.975
/model89/original,0,1,0,0,3,0,4,0.9836065573770492
/model89/original,0,1,0,0,3,1,5,0.9794238683127572
/model89/original,0,1,0,0,3,2,6,0.9752066115702479
/model89/original,0,1,0,0,3,3,7,0.970954356846473
/model89/original,0,1,0,1,0,0,2,0.970954356846473
/model89/original,0,1,0,1,0,1,3,0.9666666666666667
/model89/original,0,1,0,1,0,2,4,0.9707112970711297
/model89/original,0,1,0,1,0,3,5,0.957983193277311
/model89/original,0,1,0,1,1,0,3,0.9752066115702479
/model89/original,0,1,0,1,1,1,4,0.946058091286307
/model89/original,0,1,0,1,1,2,5,0.95
/model89/original,0,1,0,1,1,3,6,0.9456066945606695
/model89/original,0,1,0,1,2,0,4,0.962962962962963
/model89/original,0,1,0,1,2,1,5,0.9338842975206612
/model89/original,0,1,0,1,2,2,6,0.9543568464730291
/model89/original,0,1,0,1,2,3,7,0.925
/model89/original,0,1,0,1,3,0,5,0.962962962962963
/model89/original,0,1,0,1,3,1,6,0.9256198347107438
/model89/original,0,1,0,1,3,2,7,0.9294605809128631
/model89/original,0,1,0,1,3,3,8,0.95
/model89/original,0,1,0,2,0,0,3,0.8879668049792531
