model,mutations,GED, CNE, Jaccard, W-GED, LCS,,1,Pearson,R^2
Process101,6,0.727272727,0.727272727,0.763510513,0.94548125,0.565,,,,
Process101,6,0.730434783,0.730434783,0.842717391,0.96584,0.6,,,,
Process101,6,0.793103448,0.793103448,0.7905,0.950271739,0.41,,,,
Process101,6,0.728813559,0.728813559,0.845781907,0.964891111,0.35,,,,
Process101,6,0.864864865,0.864864865,0.818805704,0.956052273,0.38,,,,
Process101,6,0.789915966,0.789915966,0.818807692,0.956780851,0.59,,,,
Process101,6,0.752136752,0.752136752,0.79492559,0.954704255,0.475,,,,
Process101,6,0.883333333,0.883333333,0.860294118,0.965297778,0.615,,,,
Process101,7,0.666666667,0.666666667,0.682654127,0.921178431,0.555,,,,
Process101,7,0.810344828,0.810344828,0.882525084,0.97316,0.63,,,,
Process101,7,0.684684685,0.684684685,0.740214286,0.941386957,0.505,,,,
Process101,7,0.789915966,0.789915966,0.790811966,0.950945833,0.565,,,,
Process101,7,0.696428571,0.696428571,0.776222222,0.950291489,0.44,,,,
Process101,7,0.786324786,0.786324786,0.757264957,0.943802128,0.635,,,,
Process101,7,0.695652174,0.695652174,0.750735632,0.941121739,0.55,,,,
Process101,7,0.661016949,0.661016949,0.713813574,0.934518367,0.545,,,,
Process101,7,0.917431193,0.917431193,0.835869565,0.959914286,0.54,,,,
Process101,7,0.731707317,0.731707317,0.738895782,0.936404255,0.585,,,,
Process101,7,0.859649123,0.859649123,0.791766304,0.948082222,0.51,,,,
Process101,7,0.886956522,0.886956522,0.812365967,0.95353617,0.5,,,,
Process101,7,0.719298246,0.719298246,0.791414141,0.949437778,0.47,,,,
Process101,7,0.666666667,0.666666667,0.773809524,0.9451,0.45,,,,
Process101,7,0.773584906,0.773584906,0.793007943,0.955172093,0.525,,,,
Process101,7,0.696428571,0.696428571,0.774396552,0.948217778,0.43,,,,
Process101,7,0.672131148,0.672131148,0.742469295,0.940016667,0.455,,,,
Process101,7,0.857142857,0.857142857,0.889592391,0.978853333,0.45,,,,
Process101,7,0.747826087,0.747826087,0.740796703,0.940557447,0.515,,,,
Process101,7,0.92173913,0.92173913,0.829010989,0.956910638,0.51,,,,
Process101,7,0.810344828,0.810344828,0.825,0.960155319,0.66,,,,
Process101,7,0.822580645,0.822580645,0.802946469,0.95425,0.525,,,,
Process101,7,0.8,0.8,0.819684211,0.957435556,0.445,,,,
Process101,7,0.792792793,0.792792793,0.775605769,0.951863043,0.34,,,,
Process101,7,0.827586207,0.827586207,0.755472222,0.94205,0.445,,,,
Process101,7,0.738738739,0.738738739,0.821078057,0.958825,0.5,,,,
Process101,7,0.928571429,0.928571429,0.875,0.970855556,0.625,,,,
Process101,7,0.75,0.75,0.795469024,0.950916279,0.49,,,,
Process101,7,0.769230769,0.769230769,0.779017544,0.947884783,0.485,,,,
Process101,7,0.654867257,0.654867257,0.736285714,0.937806522,0.37,,,,
Process101,7,0.774774775,0.774774775,0.895,0.977540909,0.64,,,,
Process101,7,0.786324786,0.786324786,0.759008097,0.94367234,0.59,,,,
Process101,7,0.779661017,0.779661017,0.836190476,0.963267391,0.395,,,,
Process101,7,0.767857143,0.767857143,0.721684211,0.931236364,0.44,,,,
Process101,7,0.730434783,0.730434783,0.762834846,0.944569565,0.59,,,,
Process101,7,0.74137931,0.74137931,0.774358974,0.9473875,0.495,,,,
Process101,7,0.814159292,0.814159292,0.8125,0.959062222,0.535,,,,
Process101,7,0.840336134,0.840336134,0.829641026,0.963010638,0.635,,,,
Process101,7,0.709090909,0.709090909,0.719849138,0.935611111,0.53,,,,
Process101,7,0.847457627,0.847457627,0.811276018,0.957554167,0.545,,,,
Process101,7,0.735042735,0.735042735,0.771464646,0.941495455,0.545,,,,
Process101,7,0.745762712,0.745762712,0.793741379,0.953795745,0.55,,,,
Process101,7,0.690265487,0.690265487,0.742609319,0.941652174,0.38,,,,
Process101,7,0.807017544,0.807017544,0.843137255,0.966847826,0.58,,,,
Process101,7,0.777777778,0.777777778,0.775666667,0.948288636,0.465,,,,
Process101,7,0.803418803,0.803418803,0.794700855,0.952597917,0.56,,,,
Process101,7,0.836065574,0.836065574,0.789101215,0.947565957,0.605,,,,
Process101,7,0.834782609,0.834782609,0.830555556,0.961095556,0.6,,,,
Process101,7,0.620689655,0.620689655,0.78972043,0.947619565,0.375,,,,
Process101,7,0.833333333,0.833333333,0.805371041,0.95318913,0.67,,,,
Process101,8,0.762711864,0.762711864,0.772881724,0.949547917,0.59,,,,
Process101,8,0.743801653,0.743801653,0.77183687,0.946879167,0.555,,,,
Process101,8,0.75,0.75,0.737222222,0.938728889,0.535,,,,
Process101,8,0.776859504,0.776859504,0.703810345,0.925214,0.51,,,,
