model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,,GED,CNE,Jaccard,W-GED,LCS
Process25,0,0,0,3,0,1,2,6,0.345454545,0.345454545,0.543512478,0.604545455,0.5975
Process25,0,0,0,3,0,1,3,7,0.290909091,0.290909091,0.530637061,0.571428571,0.315
Process25,0,0,0,3,0,2,0,5,0.495412844,0.495412844,0.58815946,0.692982456,0.4425
Process25,0,0,0,3,0,2,1,6,0.411214953,0.411214953,0.565657895,0.650224215,0.4775
Process25,0,0,0,3,0,2,2,7,0.228571429,0.228571429,0.515948276,0.549295775,0.4275
Process25,0,0,0,3,0,2,3,8,0.277227723,0.277227723,0.525140523,0.590697674,0.46
Process25,0,0,0,3,0,3,0,6,0.444444444,0.444444444,0.572113769,0.666666667,0.4775
Process25,0,0,0,3,0,3,1,7,0.528301887,0.528301887,0.599787879,0.716157205,0.4925
Process25,0,0,0,3,0,3,2,8,0.462962963,0.462962963,0.577083333,0.67699115,0.4875
Process25,0,0,0,3,0,3,3,9,0.433962264,0.433962264,0.566063218,0.665178571,0.645
Process25,0,0,0,3,1,0,0,4,0.482142857,0.482142857,0.58438172,0.679824561,0.485
Process25,0,0,0,3,1,0,1,5,0.517857143,0.517857143,0.595950142,0.7,0.4675
Process25,0,0,0,3,1,0,2,6,0.428571429,0.428571429,0.569636302,0.648888889,0.3375
Process25,0,0,0,3,1,0,3,7,0.462962963,0.462962963,0.576833333,0.67699115,0.565
Process25,0,0,0,3,1,1,0,5,0.612612613,0.612612613,0.630314599,0.753191489,0.61
Process25,0,0,0,3,1,1,1,6,0.383838384,0.383838384,0.550069474,0.654545455,0.42
Process25,0,0,0,3,1,1,2,7,0.36036036,0.36036036,0.548208333,0.610859729,0.4425
Process25,0,0,0,3,1,1,3,8,0.490566038,0.490566038,0.586742081,0.696035242,0.5325
Process25,0,0,0,3,1,2,0,6,0.4,0.4,0.558421569,0.6367713,0.4375
Process25,0,0,0,3,1,2,1,7,0.309090909,0.309090909,0.535354864,0.582568807,0.4675
Process25,0,0,0,3,1,2,2,8,0.264150943,0.264150943,0.524166667,0.56744186,0.375
Process25,0,0,0,3,1,2,3,9,0.436363636,0.436363636,0.571833333,0.657777778,0.4375
Process25,0,0,0,3,1,3,0,7,0.568807339,0.568807339,0.613901515,0.732758621,0.525
Process25,0,0,0,3,1,3,1,8,0.311926606,0.311926606,0.533630793,0.587155963,0.4325
Process25,0,0,0,3,1,3,2,9,0.373831776,0.373831776,0.5515,0.628959276,0.465
Process25,0,0,0,3,1,3,3,10,0.485981308,0.485981308,0.587435897,0.691629956,0.4075
Process25,0,0,0,3,2,0,0,5,0.767857143,0.767857143,0.699151515,0.831967213,0.575
Process25,0,0,0,3,2,0,1,6,0.767857143,0.767857143,0.698515152,0.831967213,0.54
Process25,0,0,0,3,2,0,2,7,0.388888889,0.388888889,0.554913793,0.635135135,0.3075
Process25,0,0,0,3,2,0,3,8,0.272727273,0.272727273,0.526282895,0.560185185,0.425
Process25,0,0,0,3,2,1,0,6,0.553571429,0.553571429,0.608356227,0.719827586,0.5275
Process25,0,0,0,3,2,1,1,7,0.377358491,0.377358491,0.551383929,0.633484163,0.435
Process25,0,0,0,3,2,1,2,8,0.411764706,0.411764706,0.561029412,0.662162162,0.4025
Process25,0,0,0,3,2,1,3,9,0.414414414,0.414414414,0.567230697,0.642857143,0.4525
Process25,0,0,0,3,2,2,0,7,0.563636364,0.563636364,0.615812594,0.728448276,0.445
Process25,0,0,0,3,2,2,1,8,0.432432432,0.432432432,0.568283638,0.653333333,0.45
Process25,0,0,0,3,2,2,2,9,0.513761468,0.513761468,0.593089583,0.703056769,0.5
Process25,0,0,0,3,2,2,3,10,0.594594595,0.594594595,0.623233333,0.743589744,0.4125
Process25,0,0,0,3,2,3,0,8,0.458715596,0.458715596,0.575033156,0.672566372,0.565
Process25,0,0,0,3,2,3,1,9,0.592592593,0.592592593,0.622911093,0.746781116,0.4
Process25,0,0,0,3,2,3,2,10,0.490909091,0.490909091,0.587571225,0.688596491,0.515
Process25,0,0,0,3,2,3,3,11,0.591836735,0.591836735,0.615050725,0.760869565,0.3925
Process25,0,0,0,3,3,0,0,6,0.771929825,0.771929825,0.702035714,0.832653061,0.57
Process25,0,0,0,3,3,0,1,7,0.472727273,0.472727273,0.580033156,0.678414097,0.41
Process25,0,0,0,3,3,0,2,8,0.330275229,0.330275229,0.541833333,0.598173516,0.375
Process25,0,0,0,3,3,0,3,9,0.327272727,0.327272727,0.540058507,0.593607306,0.37
Process25,0,0,0,3,3,1,0,7,0.75,0.75,0.689118182,0.823045267,0.5675
Process25,0,0,0,3,3,1,1,8,0.339285714,0.339285714,0.542863636,0.595454545,0.5025
Process25,0,0,0,3,3,1,2,9,0.293577982,0.293577982,0.533166667,0.576036866,0.4625
Process25,0,0,0,3,3,1,3,10,0.301886792,0.301886792,0.5315,0.589861751,0.4925
Process25,0,0,0,3,3,2,0,8,0.709090909,0.709090909,0.676103397,0.804166667,0.455
Process25,0,0,0,3,3,2,1,9,0.553571429,0.553571429,0.609038462,0.719827586,0.5425
Process25,0,0,0,3,3,2,2,10,0.486486486,0.486486486,0.586153762,0.684210526,0.4275
Process25,0,0,0,3,3,2,3,11,0.433962264,0.433962264,0.569021569,0.665178571,0.3225
Process25,0,0,0,3,3,3,0,9,0.540540541,0.540540541,0.607329545,0.714285714,0.6325
Process25,0,0,0,3,3,3,1,10,0.550458716,0.550458716,0.606653846,0.722943723,0.5675
Process25,0,0,0,3,3,3,2,11,0.47706422,0.47706422,0.584661388,0.682819383,0.4525
Process25,0,0,0,3,3,3,3,12,0.226415094,0.226415094,0.5146875,0.544600939,0.3625
Process25,0,0,1,0,0,0,0,1,0.92,0.92,0.874687135,0.9375,0.68
Process25,0,0,1,0,0,0,1,2,0.72,0.72,0.764156954,0.833333333,0.555
Process25,0,0,1,0,0,0,2,3,0.607843137,0.607843137,0.788007576,0.801980198,0.5025
Process25,0,0,1,0,0,0,3,4,0.288659794,0.288659794,0.692777778,0.627027027,0.47
Process25,0,0,1,0,0,1,0,2,0.971428571,0.971428571,0.911871345,0.962441315,0.7875
Process25,0,0,1,0,0,1,1,3,0.732673267,0.732673267,0.768975136,0.83919598,0.535
Process25,0,0,1,0,0,1,2,4,0.526315789,0.526315789,0.688504274,0.732620321,0.5
Process25,0,0,1,0,0,1,3,5,0.378947368,0.378947368,0.643324786,0.644444444,0.43
Process25,0,0,1,0,0,2,0,3,0.961538462,0.961538462,0.90396345,0.95754717,0.7025
Process25,0,0,1,0,0,2,1,4,0.75,0.75,0.781818182,0.845771144,0.6425
Process25,0,0,1,0,0,2,2,5,0.7,0.7,0.825995671,0.854368932,0.315
Process25,0,0,1,0,0,2,3,6,0.361702128,0.361702128,0.709,0.680851064,0.225
Process25,0,0,1,0,0,3,0,4,0.826086957,0.826086957,0.816752924,0.895,0.5275
Process25,0,0,1,0,0,3,1,5,0.625,0.625,0.793787879,0.820895522,0.505
Process25,0,0,1,0,0,3,2,6,0.64,0.64,0.801441336,0.822660099,0.47
Process25,0,0,1,0,0,3,3,7,0.515463918,0.515463918,0.753266667,0.760204082,0.4925
Process25,0,0,1,0,1,0,0,2,0.971428571,0.971428571,0.90996345,0.962441315,0.7875
