model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,GED,,
Process101,0,0,1,1,2,1,1,6,0.585
Process101,0,0,1,1,2,1,2,7,0.552
Process101,0,0,1,1,2,1,3,8,0.42
Process101,0,0,1,1,2,2,0,6,0.642
Process101,0,0,1,1,2,2,1,7,0.609
Process101,0,0,1,1,2,2,2,8,0.473
Process101,0,0,1,1,2,2,3,9,0.379
Process101,0,0,1,1,2,3,0,7,0.461
Process101,0,0,1,1,2,3,1,8,0.352
Process101,0,0,1,1,2,3,2,9,0.499
Process101,0,0,1,1,2,3,3,10,0.292
Process101,0,0,1,1,3,0,0,5,0.541
Process101,0,0,1,1,3,0,1,6,0.252
Process101,0,0,1,1,3,0,2,7,0.614
Process101,0,0,1,1,3,0,3,8,0.428
Process101,0,0,1,1,3,1,0,6,0.661
Process101,0,0,1,1,3,1,1,7,0.619
Process101,0,0,1,1,3,1,2,8,0.416
Process101,0,0,1,1,3,1,3,9,0.412
Process101,0,0,1,1,3,2,0,7,0.472
Process101,0,0,1,1,3,2,1,8,0.513
Process101,0,0,1,1,3,2,2,9,0.149
Process101,0,0,1,1,3,2,3,10,0.474
Process101,0,0,1,1,3,3,0,8,0.592
Process101,0,0,1,1,3,3,1,9,0.5
Process101,0,0,1,1,3,3,2,10,0.36
Process101,0,0,1,1,3,3,3,11,0.331
Process101,0,0,1,2,0,0,0,3,0.572
Process101,0,0,1,2,0,0,1,4,0.559
Process101,0,0,1,2,0,0,2,5,0.514
Process101,0,0,1,2,0,0,3,6,0.441
Process101,0,0,1,2,0,1,0,4,0.591
Process101,0,0,1,2,0,1,1,5,0.424
Process101,0,0,1,2,0,1,2,6,0.391
Process101,0,0,1,2,0,1,3,7,0.417
Process101,0,0,1,2,0,2,0,5,0.47
Process101,0,0,1,2,0,2,1,6,0.518
Process101,0,0,1,2,0,2,2,7,0.474
Process101,0,0,1,2,0,2,3,8,0.476
Process101,0,0,1,2,0,3,0,6,0.5
Process101,0,0,1,2,0,3,1,7,0.455
Process101,0,0,1,2,0,3,2,8,0.412
Process101,0,0,1,2,0,3,3,9,0.326
Process101,0,0,1,2,1,0,0,4,0.673
Process101,0,0,1,2,1,0,1,5,0.538
Process101,0,0,1,2,1,0,2,6,0.479
Process101,0,0,1,2,1,0,3,7,0.379
Process101,0,0,1,2,1,1,0,5,0.263
Process101,0,0,1,2,1,1,1,6,0.646
Process101,0,0,1,2,1,1,2,7,0.476
Process101,0,0,1,2,1,1,3,8,0.452
Process101,0,0,1,2,1,2,0,6,0.525
Process101,0,0,1,2,1,2,1,7,0.475
Process101,0,0,1,2,1,2,2,8,0.471
Process101,0,0,1,2,1,2,3,9,0.405
Process101,0,0,1,2,1,3,0,7,0.609
Process101,0,0,1,2,1,3,1,8,0.465
Process101,0,0,1,2,1,3,2,9,0.524
Process101,0,0,1,2,1,3,3,10,0.407
Process101,0,0,1,2,2,0,0,5,0.496
Process101,0,0,1,2,2,0,1,6,0.657
Process101,0,0,1,2,2,0,2,7,0.525
Process101,0,0,1,2,2,0,3,8,0.213
Process101,0,0,1,2,2,1,0,6,0.611
Process101,0,0,1,2,2,1,1,7,0.62
Process101,0,0,1,2,2,1,2,8,0.528
Process101,0,0,1,2,2,1,3,9,0.563
Process101,0,0,1,2,2,2,0,7,0.653
Process101,0,0,1,2,2,2,1,8,0.355
Process101,0,0,1,2,2,2,2,9,0.497
Process101,0,0,1,2,2,2,3,10,0.299
Process101,0,0,1,2,2,3,0,8,0.596
Process101,0,0,1,2,2,3,1,9,0.422
Process101,0,0,1,2,2,3,2,10,0.487
Process101,0,0,1,2,2,3,3,11,0.423
Process101,0,0,1,2,3,0,0,6,0.563
Process101,0,0,1,2,3,0,1,7,0.601
Process101,0,0,1,2,3,0,2,8,0.573
Process101,0,0,1,2,3,0,3,9,0.359
Process101,0,0,1,2,3,1,0,7,0.301
Process101,0,0,1,2,3,1,1,8,0.536
Process101,0,0,1,2,3,1,2,9,0.534
Process101,0,0,1,2,3,1,3,10,0.385
Process101,0,0,1,2,3,2,0,8,0.509
Process101,0,0,1,2,3,2,1,9,0.469
Process101,0,0,1,2,3,2,2,10,0.424
Process101,0,0,1,2,3,2,3,11,0.534
Process101,0,0,1,2,3,3,0,9,0.299
Process101,0,0,1,2,3,3,1,10,0.47
Process101,0,0,1,2,3,3,2,11,0.428
Process101,0,0,1,2,3,3,3,12,0.405
Process101,0,0,1,3,0,0,0,4,0.451
