sep=,
model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,GED,LCS,BehavioralProfile
ResearchPaper1,0,0,0,2,1,2,1,0.6126126126126126,1.0,0.7249544626593807
ResearchPaper1,0,0,0,2,1,2,2,0.5585585585585586,1.0,0.7234432234432234
ResearchPaper1,0,0,0,2,1,2,3,0.5045045045045045,1.0,0.6076794657762938
ResearchPaper1,0,0,0,2,1,3,0,0.8727272727272728,1.0,0.803030303030303
ResearchPaper1,0,0,0,2,1,3,1,0.7272727272727273,1.0,0.7403314917127072
ResearchPaper1,0,0,0,2,1,3,2,0.6422018348623852,1.0,0.7135135135135136
ResearchPaper1,0,0,0,2,1,3,3,0.5769230769230769,1.0,0.47032640949554894
ResearchPaper1,0,0,0,2,2,0,0,0.831858407079646,1.0,0.305870236869207
ResearchPaper1,0,0,0,2,2,0,1,0.5789473684210527,1.0,0.730909090909091
ResearchPaper1,0,0,0,2,2,0,2,0.5614035087719298,1.0,0.7048300536672629
ResearchPaper1,0,0,0,2,2,0,3,0.5471698113207547,1.0,0.7012522361359571
ResearchPaper1,0,0,0,2,2,1,0,0.7747747747747747,1.0,0.7560521415270018
ResearchPaper1,0,0,0,2,2,1,1,0.7889908256880733,1.0,0.7094474153297683
ResearchPaper1,0,0,0,2,2,1,2,0.5714285714285714,1.0,0.7122302158273381
ResearchPaper1,0,0,0,2,2,1,3,0.5471698113207547,1.0,0.30614203454894434
ResearchPaper1,0,0,0,2,2,2,0,0.8214285714285714,1.0,0.75
ResearchPaper1,0,0,0,2,2,2,1,0.6785714285714286,1.0,0.6232876712328768
ResearchPaper1,0,0,0,2,2,2,2,0.5714285714285714,1.0,0.7109515260323159
ResearchPaper1,0,0,0,2,2,2,3,0.6306306306306306,1.0,0.718978102189781
ResearchPaper1,0,0,0,2,2,3,0,0.8,1.0,0.7397003745318352
ResearchPaper1,0,0,0,2,2,3,1,0.6306306306306306,1.0,0.6557659208261618
ResearchPaper1,0,0,0,2,2,3,2,0.6055045871559632,1.0,0.2805005213764338
ResearchPaper1,0,0,0,2,2,3,3,0.5925925925925926,1.0,0.3729050279329609
ResearchPaper1,0,0,0,2,3,0,0,0.817391304347826,1.0,0.6421232876712328
ResearchPaper1,0,0,0,2,3,0,1,0.6956521739130435,1.0,0.3239299610894942
ResearchPaper1,0,0,0,2,3,0,2,0.5309734513274336,1.0,0.7132486388384754
ResearchPaper1,0,0,0,2,3,0,3,0.5945945945945945,1.0,0.5581761006289309
