sep=,
model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,GED,CNE,Jaccard,W-GED,LCS
ProcessD,0,0,0,1,2,3,1,0.8340425531914893,0.8340425531914893,0.8424269005847953,0.9533898305084746,0.405
ProcessD,0,0,0,1,2,3,2,0.8595744680851064,0.8595744680851064,0.8866953601953602,0.9598732840549102,0.41500000000000004
ProcessD,0,0,0,1,2,3,3,0.8170212765957447,0.8170212765957446,0.859958419599724,0.9490445859872612,0.35250000000000004
ProcessD,0,0,0,1,3,0,0,0.9666666666666667,0.9666666666666667,0.966999656002752,0.9864864864864865,0.4050000000000001
ProcessD,0,0,0,1,3,0,1,0.8776371308016877,0.8776371308016878,0.8710552104899931,0.9642105263157895,0.38250000000000006
ProcessD,0,0,0,1,3,0,2,0.8117154811715481,0.8117154811715481,0.8412680878552972,0.9469777306468716,0.3675
ProcessD,0,0,0,1,3,0,3,0.8451882845188284,0.8451882845188284,0.8558277777777777,0.955649419218585,0.42500000000000004
ProcessD,0,0,0,1,3,1,0,0.957983193277311,0.957983193277311,0.9315396825396824,0.984375,0.4075000000000001
ProcessD,0,0,0,1,3,1,1,0.919831223628692,0.919831223628692,0.9182462651727358,0.974869109947644,0.38000000000000006
ProcessD,0,0,0,1,3,1,2,0.8487394957983193,0.8487394957983193,0.8821306972160631,0.9567053854276664,0.37000000000000005
ProcessD,0,0,0,1,3,1,3,0.7615062761506276,0.7615062761506276,0.8056269841269841,0.9338313767342583,0.36750000000000005
ProcessD,0,0,0,1,3,2,0,0.9411764705882353,0.9411764705882353,0.9195788144603934,0.9801670146137788,0.38250000000000006
ProcessD,0,0,0,1,3,2,1,0.8823529411764706,0.8823529411764706,0.9125973748473748,0.9652996845425867,0.38750000000000007
ProcessD,0,0,0,1,3,2,2,0.8523206751054853,0.8523206751054853,0.8493641823641824,0.9577613516367476,0.36
