model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,,GED,CNE,Jaccard,W-GED,LCS,,,
Process101,0,0,0,2,1,0,0,3,0.913793103,0.913793103,0.916231884,0.952615992,0.655,,,
Process101,0,0,0,2,1,0,1,4,0.827586207,0.827586207,0.892794118,0.921843687,0.6825,,,
Process101,0,0,0,2,1,0,2,5,0.632478632,0.632478632,0.779621212,0.847668394,0.5925,,,
Process101,0,0,0,2,1,0,3,6,0.706896552,0.706896552,0.860154127,0.877175026,0.5525,,,
Process101,0,0,0,2,1,1,0,4,0.886956522,0.886956522,0.909166667,0.943396226,0.71,,,
Process101,0,0,0,2,1,1,1,5,0.75862069,0.75862069,0.874221113,0.896551724,0.46,,,
Process101,0,0,0,2,1,1,2,6,0.714285714,0.714285714,0.793527569,0.882956879,0.5675,,,
Process101,0,0,0,2,1,1,3,7,0.689655172,0.689655172,0.732390351,0.87063655,0.455,,,
Process101,0,0,0,2,1,2,0,5,0.834782609,0.834782609,0.763743137,0.924849699,0.615,,,
Process101,0,0,0,2,1,2,1,6,0.765217391,0.765217391,0.873277778,0.89959432,0.51,,,
Process101,0,0,0,2,1,2,2,7,0.695652174,0.695652174,0.790666667,0.873716632,0.4375,,,
Process101,0,0,0,2,1,2,3,8,0.690265487,0.690265487,0.788928571,0.873326468,0.56,,,
Process101,0,0,0,2,1,3,0,6,0.824561404,0.824561404,0.81962549,0.92160804,0.5425,,,
Process101,0,0,0,2,1,3,1,7,0.771929825,0.771929825,0.749722222,0.902636917,0.62,,,
Process101,0,0,0,2,1,3,2,8,0.666666667,0.666666667,0.726086022,0.863636364,0.4975,,,
Process101,0,0,0,2,1,3,3,9,0.649122807,0.649122807,0.7190992,0.856994819,0.3925,,,
Process101,0,0,0,2,2,0,0,4,0.898305085,0.898305085,0.848033333,0.946692991,0.34,,,
Process101,0,0,0,2,2,0,1,5,0.745762712,0.745762712,0.800833333,0.890466531,0.535,,,
Process101,0,0,0,2,2,0,2,6,0.649122807,0.649122807,0.723666667,0.856994819,0.6375,,,
Process101,0,0,0,2,2,0,3,7,0.735042735,0.735042735,0.867729885,0.887080366,0.5175,,,
Process101,0,0,0,2,2,1,0,5,0.8,0.8,0.889188218,0.912298387,0.6025,,,
Process101,0,0,0,2,2,1,1,6,0.793103448,0.793103448,0.751939946,0.909274194,0.5375,,,
