model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,,GED,CNE,Jaccard,W-GED,LCS,,
Process25,0,0,0,3,1,0,0,4,0.625,0.625,0.635,0.692771084,0.4525,,
Process25,0,0,0,3,1,0,1,5,0.357142857,0.357142857,0.5469375,0.463576159,0.49,,
Process25,0,0,0,3,1,0,2,6,0.365384615,0.365384615,0.549399782,0.5,0.3875,,
Process25,0,0,0,3,1,0,3,7,0.327272727,0.327272727,0.540625637,0.44295302,0.47,,
Process25,0,0,0,3,1,1,0,5,0.763636364,0.763636364,0.695333333,0.797687861,0.685,,
Process25,0,0,0,3,1,1,1,6,0.59047619,0.59047619,0.620209091,0.679012346,0.5725,,
Process25,0,0,0,3,1,1,2,7,0.432432432,0.432432432,0.569236984,0.535483871,0.385,,
Process25,0,0,0,3,1,1,3,8,0.329896907,0.329896907,0.53774736,0.496598639,0.3725,,
Process25,0,0,0,3,1,2,0,6,0.6,0.6,0.625020513,0.676829268,0.5125,,
Process25,0,0,0,3,1,2,1,7,0.605504587,0.605504587,0.626309524,0.682926829,0.5,,
Process25,0,0,0,3,1,2,2,8,0.403669725,0.403669725,0.559731803,0.516339869,0.3375,,
Process25,0,0,0,3,1,2,3,9,0.411214953,0.411214953,0.562558824,0.529411765,0.4925,,
Process25,0,0,0,3,1,3,0,7,0.532110092,0.532110092,0.6005,0.625,0.535,,
Process25,0,0,0,3,1,3,1,8,0.623853211,0.623853211,0.633570929,0.696969697,0.6025,,
Process25,0,0,0,3,1,3,2,9,0.46728972,0.46728972,0.580525974,0.576923077,0.4725,,
Process25,0,0,0,3,1,3,3,10,0.47706422,0.47706422,0.580215054,0.579617834,0.3,,
Process25,0,0,0,3,2,0,0,5,0.702702703,0.702702703,0.666044056,0.752941176,0.55,,
Process25,0,0,0,3,2,0,1,6,0.527272727,0.527272727,0.597572341,0.61875,0.3575,,
Process25,0,0,0,3,2,0,2,7,0.513761468,0.513761468,0.593229443,0.610062893,0.4675,,
Process25,0,0,0,3,2,0,3,8,0.277227723,0.277227723,0.523362745,0.434482759,0.36,,
Process25,0,0,0,3,2,1,0,6,0.672727273,0.672727273,0.656861905,0.732142857,0.52,,
Process25,0,0,0,3,2,1,1,7,0.5,0.5,0.589233864,0.591194969,0.46,,
Process25,0,0,0,3,2,1,2,8,0.321428571,0.321428571,0.538573365,0.429530201,0.455,,
Process25,0,0,0,3,2,1,3,9,0.504504505,0.504504505,0.589702233,0.597484277,0.435,,
Process25,0,0,0,3,2,2,0,7,0.532110092,0.532110092,0.602595928,0.625,0.4875,,
Process25,0,0,0,3,2,2,1,8,0.306306306,0.306306306,0.535012061,0.418918919,0.465,,
Process25,0,0,0,3,2,2,2,9,0.355140187,0.355140187,0.545833333,0.48,0.5375,,
Process25,0,0,0,3,2,2,3,10,0.326923077,0.326923077,0.537611111,0.466216216,0.5775,,
Process25,0,0,0,3,2,3,0,8,0.654545455,0.654545455,0.646346154,0.718562874,0.5825,,
Process25,0,0,0,3,2,3,1,9,0.425925926,0.425925926,0.567731092,0.538961039,0.47,,
Process25,0,0,0,3,2,3,2,10,0.542056075,0.542056075,0.608542781,0.6375,0.56,,
Process25,0,0,0,3,2,3,3,11,0.339622642,0.339622642,0.543196078,0.469798658,0.435,,
Process25,0,0,0,3,3,0,0,6,0.637168142,0.637168142,0.640956543,0.700598802,0.6675,,
Process25,0,0,0,3,3,0,1,7,0.561403509,0.561403509,0.612095238,0.63803681,0.475,,
Process25,0,0,0,3,3,0,2,8,0.410714286,0.410714286,0.562838235,0.512987013,0.6025,,
Process25,0,0,0,3,3,0,3,9,0.242990654,0.242990654,0.519833333,0.375,0.4325,,
Process25,0,0,0,3,3,1,0,7,0.678571429,0.678571429,0.657404262,0.733727811,0.5225,,
Process25,0,0,0,3,3,1,1,8,0.553571429,0.553571429,0.60963759,0.635802469,0.45,,
Process25,0,0,0,3,3,1,2,9,0.37254902,0.37254902,0.548626671,0.513333333,0.38,,
Process25,0,0,0,3,3,1,3,10,0.23853211,0.23853211,0.517845395,0.361111111,0.535,,
Process25,0,0,0,3,3,2,0,8,0.763636364,0.763636364,0.699544444,0.797687861,0.5725,,
Process25,0,0,0,3,3,2,1,9,0.485436893,0.485436893,0.583987179,0.602564103,0.5375,,
Process25,0,0,0,3,3,2,2,10,0.366972477,0.366972477,0.550379008,0.483443709,0.3725,,
Process25,0,0,0,3,3,2,3,11,0.247619048,0.247619048,0.520614943,0.388888889,0.38,,
Process25,0,0,0,3,3,3,0,9,0.642201835,0.642201835,0.643709716,0.710843373,0.6525,,
Process25,0,0,0,3,3,3,1,10,0.504672897,0.504672897,0.590242165,0.607594937,0.545,,
Process25,0,0,0,3,3,3,2,11,0.342342342,0.342342342,0.543821078,0.453333333,0.335,,
Process25,0,0,0,3,3,3,3,12,0.237623762,0.237623762,0.516428571,0.398601399,0.3275,,
Process25,0,0,1,0,0,0,0,1,0.941176471,0.941176471,0.88921345,0.941304348,0.6125,,
Process25,0,0,1,0,0,0,1,2,0.666666667,0.666666667,0.810213,0.776223776,0.6775,,
Process25,0,0,1,0,0,0,2,3,0.59047619,0.59047619,0.781645022,0.697183099,0.4325,,
Process25,0,0,1,0,0,0,3,4,0.755102041,0.755102041,0.848571429,0.837837838,0.71,,
