model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,,GED,CNE,Jaccard,W-GED,LCS,
Process25,0,0,0,3,1,3,3,10,0.416666667,0.416666667,0.55859304,0.678733032,0.405,
Process25,0,0,0,3,2,0,0,5,0.477876106,0.477876106,0.581844828,0.675438596,0.56,
Process25,0,0,0,3,2,0,1,6,0.571428571,0.571428571,0.615334758,0.729613734,0.4475,
Process25,0,0,0,3,2,0,2,7,0.323809524,0.323809524,0.537131927,0.605504587,0.495,
Process25,0,0,0,3,2,0,3,8,0.601769912,0.601769912,0.626666667,0.744680851,0.62,
Process25,0,0,0,3,2,1,0,6,0.714285714,0.714285714,0.679199301,0.804979253,0.4475,
Process25,0,0,0,3,2,1,1,7,0.306306306,0.306306306,0.5358125,0.577981651,0.39,
Process25,0,0,0,3,2,1,2,8,0.458715596,0.458715596,0.578078089,0.672566372,0.3725,
Process25,0,0,0,3,2,1,3,9,0.702702703,0.702702703,0.66701049,0.8,0.48,
Process25,0,0,0,3,2,2,0,7,0.709090909,0.709090909,0.672449134,0.804166667,0.615,
Process25,0,0,0,3,2,2,1,8,0.425925926,0.425925926,0.564570513,0.65625,0.45,
Process25,0,0,0,3,2,2,2,9,0.647619048,0.647619048,0.64166692,0.778723404,0.595,
Process25,0,0,0,3,2,2,3,10,0.291262136,0.291262136,0.528583333,0.592592593,0.4075,
Process25,0,0,0,3,2,3,0,8,0.709090909,0.709090909,0.670981084,0.804166667,0.5625,
Process25,0,0,0,3,2,3,1,9,0.275229358,0.275229358,0.5285,0.564814815,0.345,
Process25,0,0,0,3,2,3,2,10,0.236363636,0.236363636,0.518257576,0.537383178,0.43,
Process25,0,0,0,3,2,3,3,11,0.392523364,0.392523364,0.555416667,0.63963964,0.515,
Process25,0,0,0,3,3,0,0,6,0.743362832,0.743362832,0.688449275,0.818930041,0.45,
Process25,0,0,0,3,3,0,1,7,0.456140351,0.456140351,0.577721814,0.660792952,0.485,
Process25,0,0,0,3,3,0,2,8,0.414414414,0.414414414,0.563992081,0.642857143,0.45,
Process25,0,0,0,3,3,0,3,9,0.424778761,0.424778761,0.567126332,0.644444444,0.5,
Process25,0,0,0,3,3,1,0,7,0.45045045,0.45045045,0.574285714,0.663716814,0.4875,
Process25,0,0,0,3,3,1,1,8,0.363636364,0.363636364,0.549830317,0.615384615,0.4675,
Process25,0,0,0,3,3,1,2,9,0.432432432,0.432432432,0.570215054,0.653333333,0.4,
Process25,0,0,0,3,3,1,3,10,0.418181818,0.418181818,0.566695402,0.647321429,0.4675,
Process25,0,0,0,3,3,2,0,8,0.540540541,0.540540541,0.602770655,0.714285714,0.455,
Process25,0,0,0,3,3,2,1,9,0.428571429,0.428571429,0.565548119,0.648888889,0.4275,
Process25,0,0,0,3,3,2,2,10,0.381818182,0.381818182,0.5565,0.626126126,0.3625,
Process25,0,0,0,3,3,2,3,11,0.27184466,0.27184466,0.524913793,0.581395349,0.305,
Process25,0,0,0,3,3,3,0,9,0.612612613,0.612612613,0.629587179,0.753191489,0.545,
Process25,0,0,0,3,3,3,1,10,0.587155963,0.587155963,0.618800366,0.74248927,0.4925,
Process25,0,0,0,3,3,3,2,11,0.368932039,0.368932039,0.549363636,0.636363636,0.4125,
Process25,0,0,0,3,3,3,3,12,0.414414414,0.414414414,0.56412753,0.642857143,0.4675,
Process25,0,0,1,0,0,0,0,1,0.92,0.92,0.873621345,0.9375,0.5425,
Process25,0,0,1,0,0,0,1,2,0.686868687,0.686868687,0.817237762,0.848780488,0.71,
Process25,0,0,1,0,0,0,2,3,0.504672897,0.504672897,0.753968661,0.732323232,0.555,
Process25,0,0,1,0,0,0,3,4,0.468085106,0.468085106,0.738722222,0.740932642,0.48,
Process25,0,0,1,0,0,1,0,2,0.85106383,0.85106383,0.834252924,0.905940594,0.62,
Process25,0,0,1,0,0,1,1,3,0.66,0.66,0.813212121,0.833333333,0.4925,
Process25,0,0,1,0,0,1,2,4,0.631578947,0.631578947,0.725598846,0.791666667,0.515,
Process25,0,0,1,0,0,1,3,5,0.425531915,0.425531915,0.725169231,0.717277487,0.4625,
Process25,0,0,1,0,0,2,0,3,0.951456311,0.951456311,0.89627924,0.952606635,0.7575,
Process25,0,0,1,0,0,2,1,4,0.752475248,0.752475248,0.779864025,0.85,0.5575,
Process25,0,0,1,0,0,2,2,5,0.369565217,0.369565217,0.641588889,0.648044693,0.4975,
Process25,0,0,1,0,0,2,3,6,0.40776699,0.40776699,0.72494727,0.682291667,0.4275,
Process25,0,0,1,0,0,3,0,4,0.951456311,0.951456311,0.89246345,0.952606635,0.77,
Process25,0,0,1,0,0,3,1,5,0.7,0.7,0.757542988,0.822335025,0.5075,
